"Label (Grouping)","Delaware!!Total!!Estimate","Delaware!!Total!!Margin of Error","Delaware!!65 years and over!!Estimate","Delaware!!65 years and over!!Margin of Error"
"Total population","973,764","*****","189,638","±699"
"    SEX AND AGE","","","",""
"        Male","48.3%","±0.1","44.9%","±0.2"
"        Female","51.7%","±0.1","55.1%","±0.2"
"        Median age (years)","41.4","±0.3","73.0","±0.2"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","",""
"        One race","96.9%","±0.4","99.4%","±0.3"
"            White","67.7%","±0.6","81.4%","±0.4"
"            Black or African American","22.5%","±0.4","14.7%","±0.3"
"            American Indian and Alaska Native","0.4%","±0.1","0.4%","±0.2"
"            Asian","3.8%","±0.2","2.6%","±0.2"
"            Native Hawaiian and Other Pacific Islander","0.0%","±0.1","0.1%","±0.1"
"            Some other race","2.4%","±0.5","0.3%","±0.2"
"        Two or more races","3.1%","±0.4","0.6%","±0.3"
"        Hispanic or Latino origin (of any race)","9.6%","*****","3.1%","±0.2"
"        White alone, not Hispanic or Latino","61.3%","±0.2","78.8%","±0.3"
"RELATIONSHIP","","","",""
"    Population in households","948,869","*****","185,491","±784"
"        Householder or spouse","58.4%","±0.7","89.9%","±1.4"
"        Parent","1.3%","±0.3","4.1%","±1.0"
"        Other relatives","34.0%","±0.7","3.5%","±0.8"
"        Nonrelatives","6.3%","±0.6","2.4%","±0.6"
"            Unmarried partner","2.7%","±0.3","1.2%","±0.4"
"HOUSEHOLDS BY TYPE","","","",""
"    Households","376,239","±3,536","115,063","±2,163"
"        Family households","64.5%","±1.2","56.7%","±2.1"
"            Married-couple family","47.3%","±1.3","47.0%","±2.1"
"            Female householder, no spouse present, family","11.9%","±1.0","7.5%","±1.0"
"        Nonfamily households","35.5%","±1.2","43.3%","±2.1"
"            Householder living alone","28.8%","±1.0","39.9%","±2.0"
"MARITAL STATUS","","","",""
"    Population 15 years and over","805,442","±756","189,638","±699"
"        Now married, except separated","47.4%","±1.1","58.8%","±1.9"
"        Widowed","5.9%","±0.4","20.8%","±1.4"
"        Divorced","11.9%","±0.6","14.7%","±1.5"
"        Separated","1.5%","±0.3","1.0%","±0.4"
"        Never married","33.3%","±0.8","4.7%","±0.8"
"EDUCATIONAL ATTAINMENT","","","",""
"    Population 25 years and over","687,311","±1,176","189,638","±699"
"        Less than high school graduate","9.7%","±0.7","10.3%","±1.2"
"        High school graduate, GED, or alternative","30.2%","±1.0","33.4%","±1.7"
"        Some college or associate's degree","26.9%","±0.8","26.5%","±1.5"
"        Bachelor's degree or higher","33.2%","±1.0","29.7%","±1.7"
"RESPONSIBILITY FOR GRANDCHILDREN UNDER 18 YEARS","","","",""
"    Population 30 years and over","622,102","±789","189,638","±699"
"        Living with grandchild(ren)","3.6%","±0.5","3.9%","±0.9"
"            Responsible for grandchild(ren)","1.5%","±0.4","1.0%","±0.4"
"VETERAN STATUS","","","",""
"    Civilian population 18 years and over","764,078","±1,627","189,638","±699"
"        Civilian veteran","8.9%","±0.5","19.8%","±1.2"
"DISABILITY STATUS","","","",""
"    Civilian noninstitutionalized population","956,378","±1,518","185,743","±801"
"        With any disability","13.8%","±0.7","31.0%","±1.7"
"        No disability","86.2%","±0.7","69.0%","±1.7"
"RESIDENCE 1 YEAR AGO","","","",""
"    Population 1 year and over","964,817","±1,555","189,638","±699"
"        Same house","87.4%","±1.0","95.2%","±0.9"
"        Different house in the United States","12.1%","±1.0","4.7%","±0.9"
"            Same county","6.8%","±0.7","2.5%","±0.6"
"            Different county","5.3%","±0.7","2.2%","±0.6"
"                Same state","1.4%","±0.3","0.1%","±0.1"
"                Different state","3.9%","±0.6","2.0%","±0.6"
"        Abroad","0.4%","±0.1","0.1%","±0.1"
"PLACE OF BIRTH, NATIVITY AND CITIZENSHIP STATUS, AND YEAR OF ENTRY","","","",""
"    Total population","973,764","*****","189,638","±699"
"        Native","876,494","±5,826","175,338","±1,791"
"        Foreign born","97,270","±5,826","14,300","±1,707"
"            Entered  2010 or later","29.1%","±3.6","6.2%","±3.2"
