State,Average commute time (minutes),Geographic Identifier,ucgid
Alabama,25.3,0400000US01,0400000US01
Alaska,19.3,0400000US02,0400000US02
Arizona,25.5,0400000US04,0400000US04
Arkansas,22.2,0400000US05,0400000US05
California,29.2,0400000US06,0400000US06
Colorado,25.6,0400000US08,0400000US08
Connecticut,26.4,0400000US09,0400000US09
Delaware,25.9,0400000US10,0400000US10
Florida,27.9,0400000US11,0400000US11
Georgia,28.4,0400000US12,0400000US12
Hawaii,26.6,0400000US13,0400000US13
Idaho,21.4,0400000US15,0400000US15
Illinois,28.4,0400000US16,0400000US16
Indiana,24.0,0400000US17,0400000US17
Iowa,19.6,0400000US18,0400000US18
Kansas,19.7,0400000US19,0400000US19
Kentucky,23.9,0400000US20,0400000US20
Louisiana,26.0,0400000US21,0400000US21
Maine,24.4,0400000US22,0400000US22
Maryland,32.0,0400000US23,0400000US23
Massachusetts,29.4,0400000US24,0400000US24
Michigan,24.5,0400000US25,0400000US25
Minnesota,23.3,0400000US26,0400000US26
Mississippi,25.4,0400000US27,0400000US27
Missouri,23.8,0400000US28,0400000US28
Montana,18.8,0400000US29,0400000US29
Nebraska,19.1,0400000US30,0400000US30
Nevada,24.7,0400000US31,0400000US31
New Hampshire,27.0,0400000US32,0400000US32
New Jersey,31.1,0400000US33,0400000US33
New Mexico,23.1,0400000US34,0400000US34
New York,33.2,0400000US35,0400000US35
North Carolina,25.0,0400000US36,0400000US36
North Dakota,17.9,0400000US37,0400000US37
Ohio,23.6,0400000US38,0400000US38
Oklahoma,22.3,0400000US39,0400000US39
Oregon,23.3,0400000US40,0400000US40
Pennsylvania,26.7,0400000US41,0400000US41
Puerto Rico,28.6,0400000US42,0400000US42
Rhode Island,25.3,0400000US44,0400000US44
South Carolina,25.5,0400000US45,0400000US45
South Dakota,17.4,0400000US46,0400000US46
Tennessee,25.5,0400000US47,0400000US47
Texas,26.6,0400000US48,0400000US48
Utah,21.9,0400000US49,0400000US49
Vermont,23.3,0400000US50,0400000US50
Virginia,27.9,0400000US51,0400000US51
Washington,27.3,0400000US53,0400000US53
Washington D.C.,30.5,0400000US54,0400000US54
West Virginia,26.3,0400000US55,0400000US55
Wisconsin,22.2,0400000US56,0400000US56
Wyoming,18.0,,
