State,Duration,Transportation Mode,Amount,Geographic Identifier,ucgid
Alabama,Less than 10 minutes,"Car, truck, or van",273466,0400000US01,0400000US01
Alaska,Less than 10 minutes,"Car, truck, or van",62953,0400000US02,0400000US02
Arizona,Less than 10 minutes,"Car, truck, or van",356311,0400000US04,0400000US04
Arkansas,Less than 10 minutes,"Car, truck, or van",203761,0400000US05,0400000US05
California,Less than 10 minutes,"Car, truck, or van",1918958,0400000US06,0400000US06
Colorado,Less than 10 minutes,"Car, truck, or van",326099,0400000US08,0400000US08
Connecticut,Less than 10 minutes,"Car, truck, or van",212604,0400000US09,0400000US09
Delaware,Less than 10 minutes,"Car, truck, or van",61451,0400000US10,0400000US10
District of Columbia,Less than 10 minutes,"Car, truck, or van",25844,0400000US11,0400000US11
Florida,Less than 10 minutes,"Car, truck, or van",997218,0400000US12,0400000US12
Georgia,Less than 10 minutes,"Car, truck, or van",553918,0400000US13,0400000US13
Hawaii,Less than 10 minutes,"Car, truck, or van",84055,0400000US15,0400000US15
Idaho,Less than 10 minutes,"Car, truck, or van",135197,0400000US16,0400000US16
Illinois,Less than 10 minutes,"Car, truck, or van",662242,0400000US17,0400000US17
Indiana,Less than 10 minutes,"Car, truck, or van",447738,0400000US18,0400000US18
Iowa,Less than 10 minutes,"Car, truck, or van",252564,0400000US19,0400000US19
Kansas,Less than 10 minutes,"Car, truck, or van",229437,0400000US20,0400000US20
Kentucky,Less than 10 minutes,"Car, truck, or van",290762,0400000US21,0400000US21
Louisiana,Less than 10 minutes,"Car, truck, or van",264343,0400000US22,0400000US22
Maine,Less than 10 minutes,"Car, truck, or van",85557,0400000US23,0400000US23
Maryland,Less than 10 minutes,"Car, truck, or van",252018,0400000US24,0400000US24
Massachusetts,Less than 10 minutes,"Car, truck, or van",362844,0400000US25,0400000US25
Michigan,Less than 10 minutes,"Car, truck, or van",608987,0400000US26,0400000US26
Minnesota,Less than 10 minutes,"Car, truck, or van",379353,0400000US27,0400000US27
Mississippi,Less than 10 minutes,"Car, truck, or van",176547,0400000US28,0400000US28
Missouri,Less than 10 minutes,"Car, truck, or van",392833,0400000US29,0400000US29
Montana,Less than 10 minutes,"Car, truck, or van",100102,0400000US30,0400000US30
Nebraska,Less than 10 minutes,"Car, truck, or van",166211,0400000US31,0400000US31
Nevada,Less than 10 minutes,"Car, truck, or van",168277,0400000US32,0400000US32
New Hampshire,Less than 10 minutes,"Car, truck, or van",84198,0400000US33,0400000US33
New Jersey,Less than 10 minutes,"Car, truck, or van",451364,0400000US34,0400000US34
New Mexico,Less than 10 minutes,"Car, truck, or van",138120,0400000US35,0400000US35
New York,Less than 10 minutes,"Car, truck, or van",842752,0400000US36,0400000US36
North Carolina,Less than 10 minutes,"Car, truck, or van",587826,0400000US37,0400000US37
North Dakota,Less than 10 minutes,"Car, truck, or van",84524,0400000US38,0400000US38
Ohio,Less than 10 minutes,"Car, truck, or van",744012,0400000US39,0400000US39
Oklahoma,Less than 10 minutes,"Car, truck, or van",253629,0400000US40,0400000US40
Oregon,Less than 10 minutes,"Car, truck, or van",276269,0400000US41,0400000US41
Pennsylvania,Less than 10 minutes,"Car, truck, or van",710728,0400000US42,0400000US42
Rhode Island,Less than 10 minutes,"Car, truck, or van",65560,0400000US44,0400000US44
South Carolina,Less than 10 minutes,"Car, truck, or van",290807,0400000US45,0400000US45
South Dakota,Less than 10 minutes,"Car, truck, or van",82670,0400000US46,0400000US46
Tennessee,Less than 10 minutes,"Car, truck, or van",381115,0400000US47,0400000US47
Texas,Less than 10 minutes,"Car, truck, or van",1620953,0400000US48,0400000US48
Utah,Less than 10 minutes,"Car, truck, or van",235492,0400000US49,0400000US49
Vermont,Less than 10 minutes,"Car, truck, or van",43424,0400000US50,0400000US50
Virginia,Less than 10 minutes,"Car, truck, or van",456476,0400000US51,0400000US51
Washington,Less than 10 minutes,"Car, truck, or van",429355,0400000US53,0400000US53
West Virginia,Less than 10 minutes,"Car, truck, or van",89746,0400000US54,0400000US54
Wisconsin,Less than 10 minutes,"Car, truck, or van",428961,0400000US55,0400000US55
Wyoming,Less than 10 minutes,"Car, truck, or van",59437,0400000US56,0400000US56
Puerto Rico,Less than 10 minutes,"Car, truck, or van",118294,0400000US72,0400000US72
Alabama,Less than 10 minutes,"Car, truck, or van -- drove alone",313537,0400000US01,0400000US01
Alaska,Less than 10 minutes,"Car, truck, or van -- drove alone",63866,0400000US02,0400000US02
Arizona,Less than 10 minutes,"Car, truck, or van -- drove alone",439658,0400000US04,0400000US04
Arkansas,Less than 10 minutes,"Car, truck, or van -- drove alone",210935,0400000US05,0400000US05
California,Less than 10 minutes,"Car, truck, or van -- drove alone",2373742,0400000US06,0400000US06
Colorado,Less than 10 minutes,"Car, truck, or van -- drove alone",374158,0400000US08,0400000US08
Connecticut,Less than 10 minutes,"Car, truck, or van -- drove alone",242124,0400000US09,0400000US09
Delaware,Less than 10 minutes,"Car, truck, or van -- drove alone",73411,0400000US10,0400000US10
District of Columbia,Less than 10 minutes,"Car, truck, or van -- drove alone",50478,0400000US11,0400000US11
Florida,Less than 10 minutes,"Car, truck, or van -- drove alone",1271096,0400000US12,0400000US12
Georgia,Less than 10 minutes,"Car, truck, or van -- drove alone",637234,0400000US13,0400000US13
Hawaii,Less than 10 minutes,"Car, truck, or van -- drove alone",96070,0400000US15,0400000US15
Idaho,Less than 10 minutes,"Car, truck, or van -- drove alone",135817,0400000US16,0400000US16
Illinois,Less than 10 minutes,"Car, truck, or van -- drove alone",707816,0400000US17,0400000US17
Indiana,Less than 10 minutes,"Car, truck, or van -- drove alone",467794,0400000US18,0400000US18
Iowa,Less than 10 minutes,"Car, truck, or van -- drove alone",244950,0400000US19,0400000US19
Kansas,Less than 10 minutes,"Car, truck, or van -- drove alone",226202,0400000US20,0400000US20
Kentucky,Less than 10 minutes,"Car, truck, or van -- drove alone",312023,0400000US21,0400000US21
Louisiana,Less than 10 minutes,"Car, truck, or van -- drove alone",321822,0400000US22,0400000US22
Maine,Less than 10 minutes,"Car, truck, or van -- drove alone",90285,0400000US23,0400000US23
Maryland,Less than 10 minutes,"Car, truck, or van -- drove alone",320843,0400000US24,0400000US24
Massachusetts,Less than 10 minutes,"Car, truck, or van -- drove alone",402729,0400000US25,0400000US25
Michigan,Less than 10 minutes,"Car, truck, or van -- drove alone",650397,0400000US26,0400000US26
Minnesota,Less than 10 minutes,"Car, truck, or van -- drove alone",428967,0400000US27,0400000US27
Mississippi,Less than 10 minutes,"Car, truck, or van -- drove alone",206856,0400000US28,0400000US28
Missouri,Less than 10 minutes,"Car, truck, or van -- drove alone",444715,0400000US29,0400000US29
Montana,Less than 10 minutes,"Car, truck, or van -- drove alone",91240,0400000US30,0400000US30
Nebraska,Less than 10 minutes,"Car, truck, or van -- drove alone",177595,0400000US31,0400000US31
Nevada,Less than 10 minutes,"Car, truck, or van -- drove alone",227427,0400000US32,0400000US32
New Hampshire,Less than 10 minutes,"Car, truck, or van -- drove alone",90315,0400000US33,0400000US33
New Jersey,Less than 10 minutes,"Car, truck, or van -- drove alone",508232,0400000US34,0400000US34
New Mexico,Less than 10 minutes,"Car, truck, or van -- drove alone",140538,0400000US35,0400000US35
New York,Less than 10 minutes,"Car, truck, or van -- drove alone",978371,0400000US36,0400000US36
North Carolina,Less than 10 minutes,"Car, truck, or van -- drove alone",714022,0400000US37,0400000US37
North Dakota,Less than 10 minutes,"Car, truck, or van -- drove alone",77540,0400000US38,0400000US38
Ohio,Less than 10 minutes,"Car, truck, or van -- drove alone",816550,0400000US39,0400000US39
Oklahoma,Less than 10 minutes,"Car, truck, or van -- drove alone",286210,0400000US40,0400000US40
Oregon,Less than 10 minutes,"Car, truck, or van -- drove alone",294060,0400000US41,0400000US41
Pennsylvania,Less than 10 minutes,"Car, truck, or van -- drove alone",790321,0400000US42,0400000US42
Rhode Island,Less than 10 minutes,"Car, truck, or van -- drove alone",72326,0400000US44,0400000US44
South Carolina,Less than 10 minutes,"Car, truck, or van -- drove alone",362409,0400000US45,0400000US45
South Dakota,Less than 10 minutes,"Car, truck, or van -- drove alone",69066,0400000US46,0400000US46
Tennessee,Less than 10 minutes,"Car, truck, or van -- drove alone",465847,0400000US47,0400000US47
Texas,Less than 10 minutes,"Car, truck, or van -- drove alone",1969862,0400000US48,0400000US48
Utah,Less than 10 minutes,"Car, truck, or van -- drove alone",254602,0400000US49,0400000US49
Vermont,Less than 10 minutes,"Car, truck, or van -- drove alone",42550,0400000US50,0400000US50
Virginia,Less than 10 minutes,"Car, truck, or van -- drove alone",558084,0400000US51,0400000US51
Washington,Less than 10 minutes,"Car, truck, or van -- drove alone",502327,0400000US53,0400000US53
West Virginia,Less than 10 minutes,"Car, truck, or van -- drove alone",109885,0400000US54,0400000US54
Wisconsin,Less than 10 minutes,"Car, truck, or van -- drove alone",443982,0400000US55,0400000US55
Wyoming,Less than 10 minutes,"Car, truck, or van -- drove alone",46193,0400000US56,0400000US56
Puerto Rico,Less than 10 minutes,"Car, truck, or van -- drove alone",160992,0400000US72,0400000US72
Alabama,Less than 10 minutes,"Car, truck, or van -- carpooled",325857,0400000US01,0400000US01
Alaska,Less than 10 minutes,"Car, truck, or van -- carpooled",43403,0400000US02,0400000US02
Arizona,Less than 10 minutes,"Car, truck, or van -- carpooled",438513,0400000US04,0400000US04
Arkansas,Less than 10 minutes,"Car, truck, or van -- carpooled",168763,0400000US05,0400000US05
California,Less than 10 minutes,"Car, truck, or van -- carpooled",2309859,0400000US06,0400000US06
Colorado,Less than 10 minutes,"Car, truck, or van -- carpooled",373522,0400000US08,0400000US08
Connecticut,Less than 10 minutes,"Car, truck, or van -- carpooled",226453,0400000US09,0400000US09
Delaware,Less than 10 minutes,"Car, truck, or van -- carpooled",70183,0400000US10,0400000US10
District of Columbia,Less than 10 minutes,"Car, truck, or van -- carpooled",59326,0400000US11,0400000US11
Florida,Less than 10 minutes,"Car, truck, or van -- carpooled",1323076,0400000US12,0400000US12
Georgia,Less than 10 minutes,"Car, truck, or van -- carpooled",612900,0400000US13,0400000US13
Hawaii,Less than 10 minutes,"Car, truck, or van -- carpooled",88068,0400000US15,0400000US15
Idaho,Less than 10 minutes,"Car, truck, or van -- carpooled",111974,0400000US16,0400000US16
Illinois,Less than 10 minutes,"Car, truck, or van -- carpooled",688855,0400000US17,0400000US17
Indiana,Less than 10 minutes,"Car, truck, or van -- carpooled",419229,0400000US18,0400000US18
Iowa,Less than 10 minutes,"Car, truck, or van -- carpooled",200839,0400000US19,0400000US19
Kansas,Less than 10 minutes,"Car, truck, or van -- carpooled",194733,0400000US20,0400000US20
Kentucky,Less than 10 minutes,"Car, truck, or van -- carpooled",270862,0400000US21,0400000US21
Louisiana,Less than 10 minutes,"Car, truck, or van -- carpooled",266546,0400000US22,0400000US22
Maine,Less than 10 minutes,"Car, truck, or van -- carpooled",79950,0400000US23,0400000US23
Maryland,Less than 10 minutes,"Car, truck, or van -- carpooled",332934,0400000US24,0400000US24
Massachusetts,Less than 10 minutes,"Car, truck, or van -- carpooled",402870,0400000US25,0400000US25
Michigan,Less than 10 minutes,"Car, truck, or van -- carpooled",607189,0400000US26,0400000US26
Minnesota,Less than 10 minutes,"Car, truck, or van -- carpooled",372176,0400000US27,0400000US27
Mississippi,Less than 10 minutes,"Car, truck, or van -- carpooled",167660,0400000US28,0400000US28
Missouri,Less than 10 minutes,"Car, truck, or van -- carpooled",395952,0400000US29,0400000US29
Montana,Less than 10 minutes,"Car, truck, or van -- carpooled",60254,0400000US30,0400000US30
Nebraska,Less than 10 minutes,"Car, truck, or van -- carpooled",138923,0400000US31,0400000US31
Nevada,Less than 10 minutes,"Car, truck, or van -- carpooled",236933,0400000US32,0400000US32
New Hampshire,Less than 10 minutes,"Car, truck, or van -- carpooled",87141,0400000US33,0400000US33
New Jersey,Less than 10 minutes,"Car, truck, or van -- carpooled",509053,0400000US34,0400000US34
New Mexico,Less than 10 minutes,"Car, truck, or van -- carpooled",116486,0400000US35,0400000US35
New York,Less than 10 minutes,"Car, truck, or van -- carpooled",1003719,0400000US36,0400000US36
North Carolina,Less than 10 minutes,"Car, truck, or van -- carpooled",651235,0400000US37,0400000US37
North Dakota,Less than 10 minutes,"Car, truck, or van -- carpooled",40615,0400000US38,0400000US38
Ohio,Less than 10 minutes,"Car, truck, or van -- carpooled",820645,0400000US39,0400000US39
Oklahoma,Less than 10 minutes,"Car, truck, or van -- carpooled",251183,0400000US40,0400000US40
Oregon,Less than 10 minutes,"Car, truck, or van -- carpooled",251163,0400000US41,0400000US41
Pennsylvania,Less than 10 minutes,"Car, truck, or van -- carpooled",748721,0400000US42,0400000US42
Rhode Island,Less than 10 minutes,"Car, truck, or van -- carpooled",69589,0400000US44,0400000US44
South Carolina,Less than 10 minutes,"Car, truck, or van -- carpooled",331360,0400000US45,0400000US45
South Dakota,Less than 10 minutes,"Car, truck, or van -- carpooled",57457,0400000US46,0400000US46
